player_age,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,woba_percent
37,0.361,93.9,12.8,31.3,13.8,36.1
30,0.368,91.5,6.7,32.9,7.8,36.8
31,0.261,84.6,10.6,30.3,2.1,26.1
33,0.301,85.1,4.2,31.8,1.8,30.1
32,0.295,88.5,13.6,32.6,7.6,29.5
32,0.239,89.3,15.1,35.5,10.3,23.9
37,0.355,89.9,9,35,3,35.5
32,0.332,90,14.6,33.1,7.2,33.2
31,0.368,87.5,12,34.9,6.5,36.8
34,0.345,90.6,10.1,38.4,3.1,34.5
31,0.292,88.3,9.4,27.2,3.4,29.2
32,0.359,89.1,4.9,30.9,3.4,35.9
31,0.347,90,13.4,36.2,8.4,34.7
30,0.348,90.7,11.9,34.7,14,34.8
34,0.37,88.1,13.4,45.9,6.7,37
34,0.305,88,9.4,30.6,2.8,30.5
34,0.305,88.5,10.9,36.5,6.8,30.5
33,0.348,89.6,15.8,42.1,11,34.8
32,0.333,88.9,15.4,30.1,6.9,33.3
32,0.338,89.7,9,30,6.2,33.8
31,0.319,87.8,15.7,36.9,9.8,31.9
31,0.349,89.5,15,36.9,10.8,34.9
34,0.347,89.2,17.4,38,5.3,34.7
31,0.359,90.2,9.5,38.3,3.5,35.9
34,0.323,89.3,11.5,32.6,1.9,32.3
30,0.284,87.1,14.1,30,4.5,28.4
29,0.281,84.7,9.3,35.2,0.9,28.1
29,0.346,86.5,18.9,38.6,8.3,34.6
29,0.356,91,8.1,37.5,9.4,35.6
30,0.365,92.5,18.1,37.7,17.2,36.5
30,0.359,93,6.6,38.7,10.1,35.9
30,0.427,93,10.8,40,16,42.7
30,0.39,90.8,15.7,37.1,13.6,39
29,0.318,89.1,11.3,35.7,6.8,31.8
28,0.363,87.2,10.1,34,5.9,36.3
28,0.32,85.8,11.5,30,4.2,32
28,0.327,87.7,7.8,30,3.6,32.7
28,0.315,88.5,8.4,32,6.9,31.5
29,0.337,88.4,8.9,31.5,7.5,33.7
28,0.326,87.4,15.8,34.1,6.1,32.6
28,0.378,89.1,14.5,44.7,9.3,37.8
29,0.352,88.9,14.1,32.9,11.6,35.2
29,0.322,91.3,5.9,31.3,5.2,32.2
29,0.329,89.5,19.9,31.3,8.8,32.9
28,0.359,90.1,14.7,36.2,6.5,35.9
28,0.36,93.7,11.7,30,15.1,36
28,0.294,88.6,13.7,32.3,3.9,29.4
28,0.304,91.3,18,35.4,10.8,30.4
27,0.308,84.9,10.9,32.8,1.5,30.8
27,0.327,91.5,10.8,30.3,9.7,32.7
27,0.312,88.5,3.2,27.2,5.1,31.2
28,0.374,89.8,16.2,38.2,11.4,37.4
31,0.306,87.5,11.3,37.2,3.6,30.6
28,0.347,88,15.2,34.3,12.2,34.7
28,0.36,89.7,13.2,34.2,8.8,36
28,0.309,88.7,-1.5,26.3,5.9,30.9
31,0.308,86.9,17.8,34.4,6.6,30.8
28,0.383,90.7,17.9,39.8,10.3,38.3
27,0.307,86.8,15.5,34.9,4.5,30.7
28,0.351,88.9,16.9,31.2,10.3,35.1
28,0.34,88.6,9.5,30.1,8.9,34
30,0.277,83.2,5.8,30.2,0.2,27.7
28,0.35,87,16,32.8,4.7,35
26,0.447,91.2,18.6,41,16.5,44.7
26,0.315,86.7,13.2,28.8,4.9,31.5
25,0.376,91,14.4,35.1,11.5,37.6
31,0.337,91.3,12.2,35.4,9.1,33.7
26,0.376,91.2,14.8,38.6,9.7,37.6
26,0.353,88.9,20.1,33.6,9.4,35.3
26,0.297,86.7,9.3,35.1,3,29.7
27,0.391,89.8,15.3,35.6,7.2,39.1
27,0.307,87.1,12.4,35.7,3.5,30.7
28,0.362,87.3,14,37.5,5.8,36.2
27,0.277,80.5,15.3,36.6,0.5,27.7
27,0.367,90.2,12.7,36.5,10.3,36.7
27,0.351,88.5,13.2,34.3,9.6,35.1
30,0.288,89.8,18.5,37,5.6,28.8
32,0.375,90.7,21.6,44.1,13.7,37.5
29,0.341,87.9,15.1,37.6,6.1,34.1
31,0.304,86.8,17.5,30.5,6.3,30.4
26,0.321,88.2,8,28.9,7.3,32.1
26,0.363,89.6,15.2,45.3,11.2,36.3
26,0.296,89.6,12.3,32.2,7.1,29.6
25,0.377,91.6,14.4,33.8,11.3,37.7
27,0.353,88.9,14.5,39.8,9,35.3
26,0.34,87.7,17.8,32.5,8.3,34
28,0.326,88.2,7.8,28.3,4.1,32.6
26,0.422,92.6,5,36.7,12.9,42.2
29,0.349,87,16.9,40.9,4.6,34.9
25,0.374,90.6,12.6,32.9,9.8,37.4
30,0.283,90.4,12.1,34.3,9.3,28.3
25,0.341,87.3,12.4,33.6,5,34.1
